date,Berkshire_Hathaway_return,BRK_13_F_public_stocks_holding_return,risk_free_return,market_excess_return,SMB,HML,QMJ,BAB
20000929,0.112101,0.052517,0.0051,-0.0545,-0.0139,0.0624,0.0328,0.064062
20001031,-0.007792,0.056048,0.0056,-0.0276,-0.0376,0.0552,0.08423,0.009914
20001130,0.034446,-0.003304,0.0051,-0.1072,-0.0279,0.113,0.129269,0.127719
20001229,0.078028,0.012294,0.005,0.0119,0.0097,0.0733,-0.009932,0.017704
20010131,-0.037516,-0.062819,0.0054,0.0313,0.0657,-0.049,-0.063602,-0.138522
20010228,0.029164,-0.04404,0.0038,-0.1005,-0.0074,0.129,0.080004,0.130646
20010330,-0.069073,-0.080966,0.0042,-0.0726,0.0034,0.0645,0.051979,0.080463
20010430,0.039737,0.006942,0.0039,0.0794,0.0052,-0.0469,-0.025007,-0.050288
20010531,0.008892,0.018581,0.0032,0.0072,0.026,0.0314,-0.012448,0.075898
20010629,0.010446,-0.027133,0.0028,-0.0194,0.0605,-0.0106,0.022883,0.048065
20010731,-0.002744,0.00197,0.003,-0.0213,-0.0435,0.0558,0.050271,0.074216
20010831,0.003382,0.019626,0.0031,-0.0646,0.0249,0.025,0.043929,0.045441
20010928,0.008537,-0.078876,0.0028,-0.0925,-0.0613,0.016,0.065509,0.057399
20011031,0.016281,0.007589,0.0022,0.0246,0.0763,-0.081,-0.016861,-0.081689
20011130,-0.015861,0.037922,0.0017,0.0754,-0.0041,0.02,-0.025403,-0.058714
