"ts_code","trade_date","close","turnover_rate","turnover_rate_f","volume_ratio","pe","pe_ttm","pb","ps","ps_ttm","dv_ratio","dv_ttm","total_share","float_share","free_share","total_mv","circ_mv"
"002229.SZ","20260309","17.9","13.7584","13.7584","2.05","","","6.9867","17.4111","8.6624","","","49619.1488","49316.4301","49316.4301","888182.7635","882764.0988"
"000619.SZ","20260309","6.39","2.3042","3.4618","0.86","","","1.1054","0.5343","0.582","","","44116.8831","36000","23962.0607","281906.883","230040"
"002790.SZ","20260309","8","1.4197","2.5987","0.71","18.4642","28.7481","1.5856","1.4175","1.6617","2.5","2.5","41787.23","26069.75","14242.55","334297.84","208558"
"300097.SZ","20260309","8.2","2.7248","3.178","0.93","","","6.2279","6.1608","14.9261","","","28854.9669","27000.9948","23150.5534","236610.7286","221408.1574"
"601918.SH","20260309","8.04","4.6167","8.6596","1.12","8.7039","10.0893","1.2775","1.6365","1.6874","1.99","2.6119","259054.18","259054.18","138109.0227","2082795.6072","2082795.6072"
"002985.SZ","20260309","39.55","5.1669","5.422","0.67","812.4698","217.1414","5.0162","24.4001","18.614","0.0582","0.0582","33185.36","17567.0793","16740.4146","1312480.988","694777.9863"
"002538.SZ","20260309","7.91","5.3574","7.938","1.13","21.6801","30.385","1.2581","1.5765","1.5192","1.5171","1.5171","85355.5763","85355.0551","57606.9751","675162.6085","675158.4858"
"603053.SH","20260309","10.23","1.7414","9.1652","0.75","18.6052","18.7408","1.8849","1.7243","1.734","2.9326","2.9326","88889","88889","16889","909334.47","909334.47"
"603679.SH","20260309","14.99","3.1732","4.7759","0.76","","","3.1914","6.8312","5.5391","","","16734.7121","16734.7121","11118.8947","250853.3344","250853.3344"
"600619.SH","20260309","17.9","2.6615","4.0667","1.03","567.6127","289.0423","3.1374","1.0248","0.9576","0.0726","0.0726","107334.4406","78917.4798","51647.485","1921286.4867","1412622.8884"
"300679.SZ","20260309","37.26","2.3675","3.1616","0.86","25.4356","29.5038","3.1464","3.3958","2.9489","1.2625","1.2625","42482","35944.1345","26916.1686","1582879.32","1339278.4515"
"603757.SH","20260309","39.96","5.2284","12.0265","1.03","29.1993","36.9622","3.7037","3.9057","3.6231","1.6933","1.6933","18654.7259","18654.7259","8109.9259","745442.847","745442.847"
"603516.SH","20260309","150.36","3.1362","4.5338","1.38","356.2172","6050.9422","21.9545","61.758","84.4236","0.1654","0.1654","20326.8279","20326.8279","14060.9339","3056341.843","3056341.843"
"600771.SH","20260309","17.04","0.8376","0.9873","0.78","112.0294","101.2583","5.0591","6.8288","6.0066","","","48949.1141","48949.1141","41525.7673","834092.9043","834092.9043"
"000962.SZ","20260309","55.03","5.4955","9.3364","0.95","130.2984","104.6784","10.1892","21.695","17.5391","0.2308","0.2308","50486.4268","50166.4375","29528.5361","2778268.0668","2760659.0556"
"002920.SZ","20260309","113.92","1.6809","3.3391","0.98","27.7114","27.7114","4.4099","2.0884","2.0884","0.9794","0.9794","59684.2634","55472.8461","27924.9869","6799231.2865","6319466.6277"
"605500.SH","20260309","9.09","0.8705","3.68","0.96","19.4772","42.707","1.4748","1.5943","1.421","1.6502","1.6502","41440","41440","9802.8545","376689.6","376689.6"
"688039.SH","20260309","48.17","2.4922","4.7356","0.9","","","4.9953","17.3753","15.28","","","11060.1424","11060.1424","5820.6388","532767.0594","532767.0594"
"300852.SZ","20260309","47","5.0245","10.8302","0.83","53.7798","50.824","3.422","5.3387","4.2593","0.2622","0.2622","16052.1165","15495.6311","7188.9695","754449.4755","728294.6617"
